Year,Global_Avg_Temp,10-year MA
1750,878.37,
1751,7.98,
1752,5.78,
1753,8.39,
1754,8.47,
1755,8.36,
1756,8.85,
1757,9.02,
1758,6.74,104.6622222
1759,7.99,7.953333333
1760,7.19,7.865555556
1761,8.77,8.197777778
1762,8.61,8.222222222
1763,7.5,8.114444444
1764,8.4,8.118888889
1765,8.25,8.052222222
1766,8.41,7.984444444
1767,8.22,8.148888889
1768,6.78,8.014444444
1769,7.69,8.07
1770,7.69,7.95
1771,7.85,7.865555556
1772,8.19,7.942222222
1773,8.22,7.922222222
1774,8.77,7.98
1775,9.18,8.065555556
1776,8.3,8.074444444
1777,8.26,8.238888889
1778,8.54,8.333333333
1779,8.98,8.476666667
1780,9.43,8.652222222
1781,8.1,8.642222222
1782,7.9,8.606666667
1783,7.68,8.485555556
1784,7.86,8.338888889
1785,7.36,8.234444444
1786,8.26,8.234444444
1787,8.03,8.177777778
1788,8.45,8.118888889
1789,8.33,7.996666667
1790,7.98,7.983333333
1791,8.23,8.02
1792,8.09,8.065555556
1793,8.23,8.106666667
1794,8.53,8.236666667
1795,8.35,8.246666667
1796,8.27,8.273333333
1797,8.51,8.28
1798,8.67,8.317777778
1799,8.51,8.376666667
1800,8.48,8.404444444
1801,8.59,8.46
1802,8.58,8.498888889
1803,8.5,8.495555556
1804,8.84,8.55
1805,8.56,8.582222222
1806,8.43,8.573333333
1807,8.28,8.53
1808,7.63,8.432222222
1809,7.08,8.276666667
1810,6.92,8.091111111
1811,6.86,7.9
1812,7.05,7.738888889
1813,7.74,7.616666667
1814,7.59,7.508888889
1815,7.24,7.376666667
1816,6.94,7.227777778
1817,6.98,7.155555556
1818,7.83,7.238888889
1819,7.37,7.288888889
1820,7.62,7.373333333
1821,8.09,7.488888889
1822,8.19,7.538888889
1823,7.72,7.553333333
1824,8.55,7.698888889
1825,8.39,7.86
1826,8.36,8.013333333
1827,8.81,8.122222222
1828,8.17,8.211111111
1829,7.94,8.246666667
1830,8.52,8.294444444
1831,7.64,8.233333333
1832,7.45,8.203333333
1833,8.01,8.143333333
1834,8.15,8.116666667
1835,7.39,8.008888889
1836,7.7,7.885555556
1837,7.38,7.797777778
1838,7.51,7.75
1839,7.63,7.651111111
1840,7.8,7.668888889
1841,7.69,7.695555556
1842,8.02,7.696666667
1843,8.17,7.698888889
1844,7.65,7.727777778
1845,7.85,7.744444444
1846,8.55,7.874444444
1847,8.09,7.938888889
1848,7.98,7.977777778
1849,7.98,7.997777778
1850,7.9,8.021111111
1851,8.18,8.038888889
1852,8.1,8.031111111
1853,8.04,8.074444444
1854,8.21,8.114444444
1855,8.11,8.065555556
1856,8,8.055555556
1857,7.76,8.031111111
1858,8.1,8.044444444
1859,8.25,8.083333333
1860,7.96,8.058888889
1861,7.85,8.031111111
1862,7.56,7.977777778
1863,8.11,7.966666667
1864,7.98,7.952222222
1865,8.18,7.972222222
1866,8.29,8.031111111
1867,8.44,8.068888889
1868,8.25,8.068888889
1869,8.43,8.121111111
1870,8.2,8.16
1871,8.12,8.222222222
1872,8.19,8.231111111
1873,8.35,8.272222222
1874,8.43,8.3
1875,7.86,8.252222222
1876,8.08,8.212222222
1877,8.54,8.244444444
1878,8.83,8.288888889
1879,8.17,8.285555556
1880,8.12,8.285555556
1881,8.27,8.294444444
1882,8.13,8.27
1883,7.98,8.22
1884,7.77,8.21
1885,7.92,8.192222222
1886,7.95,8.126666667
1887,7.91,8.024444444
1888,8.09,8.015555556
1889,8.32,8.037777778
1890,7.97,8.004444444
1891,8.02,7.992222222
1892,8.07,8.002222222
1893,8.06,8.034444444
1894,8.16,8.061111111
1895,8.15,8.083333333
1896,8.21,8.116666667
1897,8.29,8.138888889
1898,8.18,8.123333333
1899,8.4,8.171111111
1900,8.5,8.224444444
1901,8.54,8.276666667
1902,8.3,8.303333333
1903,8.22,8.31
1904,8.09,8.303333333
1905,8.23,8.305555556
1906,8.38,8.315555556
1907,7.95,8.29
1908,8.19,8.266666667
1909,8.18,8.231111111
1910,8.22,8.195555556
1911,8.18,8.182222222
1912,8.17,8.176666667
1913,8.3,8.2
1914,8.59,8.24
1915,8.59,8.263333333
1916,8.23,8.294444444
1917,8.02,8.275555556
1918,8.13,8.27
1919,8.38,8.287777778
1920,8.36,8.307777778
1921,8.57,8.352222222
1922,8.41,8.364444444
1923,8.42,8.345555556
1924,8.51,8.336666667
1925,8.53,8.37
1926,8.73,8.448888889
1927,8.52,8.492222222
1928,8.63,8.52
1929,8.24,8.506666667
1930,8.63,8.513333333
1931,8.72,8.547777778
1932,8.71,8.58
1933,8.34,8.561111111
1934,8.63,8.572222222
1935,8.52,8.548888889
1936,8.55,8.552222222
1937,8.7,8.56
1938,8.86,8.628888889
1939,8.76,8.643333333
1940,8.76,8.647777778
1941,8.77,8.654444444
1942,8.73,8.697777778
1943,8.76,8.712222222
1944,8.85,8.748888889
1945,8.58,8.752222222
1946,8.68,8.75
1947,8.8,8.743333333
1948,8.75,8.742222222
1949,8.59,8.723333333
1950,8.37,8.678888889
1951,8.63,8.667777778
1952,8.64,8.654444444
1953,8.87,8.656666667
1954,8.56,8.654444444
1955,8.63,8.648888889
1956,8.28,8.591111111
1957,8.73,8.588888889
1958,8.77,8.608888889
1959,8.73,8.648888889
1960,8.58,8.643333333
1961,8.8,8.661111111
1962,8.75,8.647777778
1963,8.86,8.681111111
1964,8.41,8.656666667
1965,8.53,8.684444444
1966,8.6,8.67
1967,8.7,8.662222222
1968,8.52,8.638888889
1969,8.6,8.641111111
1970,8.7,8.63
1971,8.6,8.613333333
1972,8.5,8.573333333
1973,8.95,8.633333333
1974,8.47,8.626666667
1975,8.74,8.642222222
1976,8.35,8.603333333
1977,8.85,8.64
1978,8.69,8.65
1979,8.73,8.653333333
1980,8.98,8.695555556
1981,9.17,8.77
1982,8.64,8.735555556
1983,9.03,8.797777778
1984,8.69,8.792222222
1985,8.66,8.826666667
1986,8.83,8.824444444
1987,8.99,8.857777778
1988,9.2,8.91
1989,8.92,8.903333333
1990,9.23,8.91
1991,9.18,8.97
1992,8.84,8.948888889
1993,8.87,8.968888889
1994,9.04,9.011111111
1995,9.35,9.068888889
1996,9.04,9.074444444
1997,9.2,9.074444444
1998,9.52,9.141111111
1999,9.29,9.147777778
2000,9.2,9.15
2001,9.41,9.213333333
2002,9.57,9.291111111
2003,9.53,9.345555556
2004,9.32,9.342222222
2005,9.7,9.415555556
2006,9.53,9.452222222
2007,9.73,9.475555556
2008,9.43,9.491111111
2009,9.51,9.525555556
2010,9.7,9.557777778
2011,9.52,9.552222222
2012,9.51,9.55
2013,9.61,9.582222222
2014,9.57,9.567777778
2015,9.83,9.601111111
